Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO.1	WT.1	KO.2	WT.2	KO.3	WT.3	KO.4	WT.4	KO.5	WT.5	external_gene_name	gene_biotype	description
ENSRNOG00000037919	6952.475727733711	-2.343604777114972	0.08817443389646536	-26.57918711297697	1.1814768817832194e-155	1.9228536251021897e-151	2696.887990834624	11195.12929178009	2336.830977805332	10734.956976141011	2134.9725784011125	12024.073700280875	2051.509072218209	10584.363781846472	2223.5020953776975	13542.530812651688	ENSRNOG00000037919	protein_coding	
ENSRNOG00000001184	305.77910728210367	3.612206682144824	0.15776018873211123	22.896820238207404	4.9977832010296646e-116	4.0669460798378897e-112	669.1845545484261	41.00779960359007	533.8238203400485	36.277560599224174	503.3592843763534	51.90845147764149	644.242299420831	39.97871116844749	475.88243746167956	62.12615382479449	Pknox1	protein_coding	PBX/knotted 1 homeobox 1 [Source:RGD Symbol;Acc:1305003]
ENSRNOG00000009705	1348.7381937893194	1.7567491372252615	0.08129530142500271	21.609479347904426	1.462887442863547e-103	7.936164377534743e-100	2315.1028250066784	620.9752511400783	2162.822108191725	639.1252587922141	1874.6841758161572	621.863248702145	1787.772380892806	581.3570915745072	2266.3009441429876	617.3786536338953	Lck	protein_coding	LCK proto-oncogene, Src family tyrosine kinase [Source:RGD Symbol;Acc:2994]
ENSRNOG00000009713	431.31557659367303	2.3166388147059394	0.12212566208451561	18.969304036220798	3.0593001320934372e-80	1.2447527412455173e-76	659.6399254027275	145.480050974641	794.3455742813245	113.1006301034636	751.4941428717389	156.7635234624773	583.8445838501281	136.59392982552893	802.9879244535407	168.90548071116004	Oxa1l	protein_coding	OXA1L, mitochondrial inner membrane protein [Source:RGD Symbol;Acc:1585024]
ENSRNOG00000009837	2594.1335641016517	0.8119926752042019	0.0449265910044076	18.073765604083782	5.1290436162580013e-73	1.6695036970919795e-69	3374.5566601792266	1755.5243735060703	3204.909123956829	1814.9450170376565	3394.8899823531924	1913.3455214658654	3335.967156688491	1938.134601853694	3219.0848392750445	1989.9783647004488	Tmem131l	protein_coding	transmembrane 131 like [Source:RGD Symbol;Acc:1583677]
ENSRNOG00000014634	9804.119207394395	0.7410598847564267	0.04118054199636834	17.99538929870762	2.1172905828935426e-72	5.743150706098734e-69	12651.936189798294	6908.837857023889	12345.781833941674	7078.3922651545045	12019.855104584632	7749.931805611875	11835.93899467208	7404.390464322879	12488.092657586472	7558.034901247655	Gtpbp1	protein_coding	GTP binding protein 1 [Source:RGD Symbol;Acc:1306758]
ENSRNOG00000064658	289.31690226395585	1.5387037132771009	0.08736053417491202	17.61325898255533	1.9489372548121526e-69	4.531279117438255e-66	421.02419676026176	145.480050974641	394.22348426585535	151.5121648555833	421.32286177175655	162.99253763979428	457.009381151652	137.42681964153826	457.5400737051266	144.63745187334968	Rnase3	protein_coding	ribonuclease A family member 3 [Source:RGD Symbol;Acc:621580]
ENSRNOG00000023016	3857.2597053863456	0.6853432309233597	0.039822329528402534	17.21002359830686	2.233407489941107e-66	4.5435883623489395e-63	4627.024106964791	2817.821658475261	4683.4929651933535	2948.085292225188	4772.291645837781	3103.0872293334082	4719.074843257587	2877.63431431221	4978.932739695431	3045.152258568443	Magea9	protein_coding	MAGE family member A9 [Source:RGD Symbol;Acc:1565494]
ENSRNOG00000019265	831.3756418964751	1.7817621521673	0.10375858850397471	17.17218957830219	4.2892987392381504e-66	7.756481886788988e-63	1431.6943718547943	303.6529923027741	1207.2479767542902	341.43586446328635	1317.6467383775368	449.5271897963753	1309.623799291408	354.8110616199715	1173.9112804193894	424.20514408492494	Pcdh12	protein_coding	protocadherin 12 [Source:RGD Symbol;Acc:619917]
ENSRNOG00000013866	653.3694420516892	1.4043639582157401	0.08557318563024051	16.411261867519574	1.5886892607943837e-60	2.5855917719428595e-57	1048.8486916773272	373.9520773375	819.9061991963176	346.7707998455252	1014.8209314790868	322.87056819093004	946.2308772743455	347.3150532758876	913.0421069928584	399.93711524711455	Usp49	protein_coding	ubiquitin specific peptidase 49 [Source:RGD Symbol;Acc:1310513]
