mRNA,length,name
Zm00001eb000010_T001,5588,B73
Zm00001eb000020_T001,5549,B73
Zm00001eb000050_T001,5829,B73
Zm00001eb000060_T001,1023,B73
Zm00001eb000070_T001,8641,B73
Zm00001eb000080_T001,3132,B73
Zm00001eb000100_T001,3105,B73
Zm00001eb000110_T001,821,B73
Zm00001eb000120_T001,628,B73
Zm00001eb000140_T001,1591,B73
Zm00001eb000150_T001,439,B73
Zm00001eb000170_T004,13457,B73
Zm00001eb000180_T001,984,B73
Zm00001eb000200_T001,845,B73
Zm00001eb000190_T001,28060,B73
Zm00001eb000210_T001,11211,B73
Zm00001eb000220_T001,2689,B73
Zm00001eb000230_T001,4173,B73
Zm00001eb000240_T002,2891,B73
Zm00001eb000250_T001,282,B73
Zm00001eb000270_T001,2950,B73
Zm00001eb000290_T001,4205,B73
Zm00001eb000300_T001,1629,B73
Zm00001eb000310_T001,8272,B73
Zm00001eb000320_T002,4534,B73
Zm00001eb000330_T001,4839,B73
Zm00001eb000340_T001,40691,B73
Zm00001eb000360_T001,645,B73
Zm00001eb000370_T001,1290,B73
Zm00001eb000380_T001,1423,B73
Zm00001eb000390_T001,2479,B73
Zm00001eb000400_T001,1523,B73
Zm00001eb000410_T001,1724,B73
Zm00001eb000420_T001,2142,B73
Zm00001eb000430_T001,807,B73
Zm00001eb000440_T002,960,B73
Zm00001eb000450_T001,845,B73
Zm00001eb000460_T001,2204,B73
Zm00001eb000470_T001,2037,B73
Zm00001eb000480_T002,7171,B73
Zm00001eb000490_T003,1907,B73
Zm00001eb000500_T001,4275,B73
Zm00001eb000510_T001,2349,B73
Zm00001eb000520_T001,14007,B73
Zm00001eb000530_T001,318,B73
Zm00001eb000540_T001,7745,B73
Zm00001eb000550_T003,4583,B73
Zm00001eb000560_T001,4435,B73
Zm00001eb000570_T002,4860,B73
Zm00001eb000580_T001,1909,B73
Zm00001eb000590_T001,7978,B73
Zm00001eb000600_T001,3073,B73
Zm00001eb000620_T007,6611,B73
Zm00001eb000630_T001,2880,B73
Zm00001eb000640_T001,2677,B73
Zm00001eb000650_T001,6633,B73
Zm00001eb000660_T002,1265,B73
Zm00001eb000670_T002,2250,B73
Zm00001eb000680_T002,1290,B73
Zm00001eb000690_T002,7143,B73
Zm00001eb000700_T001,2999,B73
Zm00001eb000710_T001,8635,B73
Zm00001eb000720_T001,4907,B73
Zm00001eb000740_T001,9194,B73
Zm00001eb000750_T001,4721,B73
Zm00001eb000760_T001,2893,B73
Zm00001eb000770_T001,967,B73
Zm00001eb000780_T001,12666,B73
Zm00001eb000790_T001,3179,B73
Zm00001eb000800_T002,20589,B73
Zm00001eb000810_T001,22157,B73
Zm00001eb000820_T004,4904,B73
Zm00001eb000830_T001,1887,B73
Zm00001eb000840_T001,1586,B73
Zm00001eb000850_T001,616,B73
Zm00001eb000860_T001,18560,B73
Zm00001eb000870_T001,11380,B73
Zm00001eb000880_T001,4424,B73
Zm00001eb000890_T001,6307,B73
Zm00001eb000900_T001,1332,B73
Zm00001eb000910_T001,1475,B73
Zm00001eb000920_T004,16173,B73
Zm00001eb000930_T001,1952,B73
Zm00001eb000940_T001,897,B73
Zm00001eb000960_T002,2045,B73
Zm00001eb000970_T001,3583,B73
Zm00001eb000980_T001,1031,B73
Zm00001eb000990_T001,1385,B73
Zm00001eb001000_T001,5308,B73
Zm00001eb001010_T001,3990,B73
Zm00001eb001020_T001,2661,B73
Zm00001eb001030_T001,1336,B73
Zm00001eb001040_T001,4563,B73
Zm00001eb001050_T002,2958,B73
Zm00001eb001060_T002,2026,B73
Zm00001eb001070_T001,4998,B73
Zm00001eb001090_T001,635,B73
Zm00001eb001100_T001,1223,B73
Zm00001eb001110_T001,10189,B73
Zm00001eb001120_T001,2911,B73
Zm00001eb001130_T002,3425,B73
Zm00001eb001140_T004,2936,B73
Zm00001eb001150_T001,4801,B73
Zm00001eb001160_T001,2636,B73
Zm00001eb001170_T002,2509,B73
Zm00001eb001180_T001,3642,B73
Zm00001eb001190_T001,1152,B73
